series,state,year,month,rate
LASST010000000000003,1,2006,01,4.1
LASST010000000000003,1,2006,02,4.1
LASST010000000000003,1,2006,03,4
LASST010000000000003,1,2006,04,4.1
LASST010000000000003,1,2006,05,4.1
LASST010000000000003,1,2006,06,4.1
LASST010000000000003,1,2006,07,4.1
LASST010000000000003,1,2006,08,4.1
LASST010000000000003,1,2006,09,4
LASST010000000000003,1,2006,10,4
LASST010000000000003,1,2006,11,4
LASST010000000000003,1,2006,12,3.9
LASST010000000000003,1,2007,01,3.9
LASST010000000000003,1,2007,02,3.9
LASST010000000000003,1,2007,03,3.8
LASST010000000000003,1,2007,04,3.8
LASST010000000000003,1,2007,05,3.9
LASST010000000000003,1,2007,06,3.9
LASST010000000000003,1,2007,07,4
LASST010000000000003,1,2007,08,4.1
LASST010000000000003,1,2007,09,4.2
LASST010000000000003,1,2007,10,4.3
LASST010000000000003,1,2007,11,4.4
LASST010000000000003,1,2007,12,4.4
LASST010000000000003,1,2008,01,4.5
LASST010000000000003,1,2008,02,4.6
LASST010000000000003,1,2008,03,4.8
LASST010000000000003,1,2008,04,5
LASST010000000000003,1,2008,05,5.2
LASST010000000000003,1,2008,06,5.5
LASST010000000000003,1,2008,07,5.7
LASST010000000000003,1,2008,08,6
LASST010000000000003,1,2008,09,6.4
LASST010000000000003,1,2008,10,6.9
LASST010000000000003,1,2008,11,7.5
LASST010000000000003,1,2008,12,8.3
LASST010000000000003,1,2009,01,9.1
LASST010000000000003,1,2009,02,9.8
LASST010000000000003,1,2009,03,10.4
LASST010000000000003,1,2009,04,10.9
LASST010000000000003,1,2009,05,11.2
LASST010000000000003,1,2009,06,11.4
LASST010000000000003,1,2009,07,11.6
LASST010000000000003,1,2009,08,11.8
LASST010000000000003,1,2009,09,11.9
LASST010000000000003,1,2009,10,11.9
LASST010000000000003,1,2009,11,11.9
LASST010000000000003,1,2009,12,11.8
LASST010000000000003,1,2010,01,11.7
LASST010000000000003,1,2010,02,11.6
LASST010000000000003,1,2010,03,11.3
LASST010000000000003,1,2010,04,10.8
LASST010000000000003,1,2010,05,10.4
LASST010000000000003,1,2010,06,10.1
LASST010000000000003,1,2010,07,10
LASST010000000000003,1,2010,08,9.9
LASST010000000000003,1,2010,09,10
LASST010000000000003,1,2010,10,10.1
LASST010000000000003,1,2010,11,10.2
LASST010000000000003,1,2010,12,10.3
LASST010000000000003,1,2011,01,10.2
LASST010000000000003,1,2011,02,10.1
LASST010000000000003,1,2011,03,10
LASST010000000000003,1,2011,04,9.9
LASST010000000000003,1,2011,05,9.9
LASST010000000000003,1,2011,06,9.8
LASST010000000000003,1,2011,07,9.7
LASST010000000000003,1,2011,08,9.6
LASST010000000000003,1,2011,09,9.3
LASST010000000000003,1,2011,10,9
LASST010000000000003,1,2011,11,8.7
LASST010000000000003,1,2011,12,8.3
LASST010000000000003,1,2012,01,8.1
LASST010000000000003,1,2012,02,8
LASST010000000000003,1,2012,03,8
LASST010000000000003,1,2012,04,8.1
LASST010000000000003,1,2012,05,8.2
LASST010000000000003,1,2012,06,8.2
LASST010000000000003,1,2012,07,8.2
LASST010000000000003,1,2012,08,8.1
LASST010000000000003,1,2012,09,7.9
LASST010000000000003,1,2012,10,7.8
LASST010000000000003,1,2012,11,7.7
LASST010000000000003,1,2012,12,7.6
LASST010000000000003,1,2013,01,7.5
LASST010000000000003,1,2013,02,7.4
LASST010000000000003,1,2013,03,7.2
LASST010000000000003,1,2013,04,7.1
LASST010000000000003,1,2013,05,7
LASST010000000000003,1,2013,06,6.9
LASST010000000000003,1,2013,07,7
LASST010000000000003,1,2013,08,7
LASST010000000000003,1,2013,09,7
LASST010000000000003,1,2013,10,7.1
LASST010000000000003,1,2013,11,7.1
LASST010000000000003,1,2013,12,7.2
LASST010000000000003,1,2014,01,7.2
LASST010000000000003,1,2014,02,7.2
LASST010000000000003,1,2014,03,7.2
LASST010000000000003,1,2014,04,7.1
LASST010000000000003,1,2014,05,6.9
LASST010000000000003,1,2014,06,6.8
LASST010000000000003,1,2014,07,6.6
LASST010000000000003,1,2014,08,6.5
LASST010000000000003,1,2014,09,6.3
LASST010000000000003,1,2014,10,6.2
LASST010000000000003,1,2014,11,6.1
LASST010000000000003,1,2014,12,6.1
LASST010000000000003,1,2015,01,6
LASST010000000000003,1,2015,02,5.8
LASST010000000000003,1,2015,03,5.7
LASST010000000000003,1,2015,04,5.8
LASST010000000000003,1,2015,05,6.1
LASST010000000000003,1,2015,06,6.1
LASST010000000000003,1,2015,07,6.2
LASST010000000000003,1,2015,08,6.2
LASST010000000000003,1,2015,09,6
LASST020000000000003,2,2006,01,6.9
LASST020000000000003,2,2006,02,6.8
LASST020000000000003,2,2006,03,6.8
LASST020000000000003,2,2006,04,6.7
LASST020000000000003,2,2006,05,6.7
LASST020000000000003,2,2006,06,6.6
LASST020000000000003,2,2006,07,6.6
LASST020000000000003,2,2006,08,6.5
LASST020000000000003,2,2006,09,6.5
LASST020000000000003,2,2006,10,6.5
LASST020000000000003,2,2006,11,6.4
LASST020000000000003,2,2006,12,6.4
LASST020000000000003,2,2007,01,6.3
LASST020000000000003,2,2007,02,6.3
LASST020000000000003,2,2007,03,6.3
LASST020000000000003,2,2007,04,6.3
LASST020000000000003,2,2007,05,6.3
LASST020000000000003,2,2007,06,6.3
LASST020000000000003,2,2007,07,6.4
LASST020000000000003,2,2007,08,6.4
LASST020000000000003,2,2007,09,6.4
LASST020000000000003,2,2007,10,6.4
LASST020000000000003,2,2007,11,6.4
LASST020000000000003,2,2007,12,6.4
LASST020000000000003,2,2008,01,6.5
LASST020000000000003,2,2008,02,6.5
LASST020000000000003,2,2008,03,6.6
LASST020000000000003,2,2008,04,6.6
